url,FileSize,NumOfOutLink,ContentType
https://www.nytimes.com/video/opinion/100000006055559/sanctuary-city-hotline.html,244 KB,82,text/html
https://www.nytimes.com/2018/10/01/opinion/kavanaugh-supreme-court-senate-hearing.html,598 KB,118,text/html
https://www.nytimes.com/2018/10/01/us/joe-fain-rape-candace-faber.html,583 KB,125,text/html
https://www.nytimes.com/section/politics,127 KB,142,text/html
https://www.nytimes.com/2018/09/28/arts/music/led-zeppelin-stairway-to-heaven.html,633 KB,121,text/html
https://www.nytimes.com/section/sports,185 KB,174,text/html
https://www.nytimes.com/2018/10/01/business/economy/irs-tax-fraud-audit.html,695 KB,132,text/html
https://www.nytimes.com/section/business/media,112 KB,132,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-default-homescreen-57x57-7cccbfb151c7db793e92ea58c30b9e72.png,1 KB,0,image/png
https://www.nytimes.com/video/health/healthguide/100000006134493/tongue-tied-boy-speaks-texas.html?playlistId=1194811622217,478 KB,85,text/html
https://www.nytimes.com/video/arts/music/100000006000184/mo-bamba-sheck-wes-rap.html,337 KB,68,text/html
https://www.nytimes.com/section/magazine,137 KB,147,text/html
https://www.nytimes.com/section/health,138 KB,153,text/html
https://www.nytimes.com/section/arts/dance,135 KB,148,text/html
https://www.nytimes.com/by/sapna-maheshwari,116 KB,127,text/html
https://www.nytimes.com/column/red-century,231 KB,113,text/html
https://www.nytimes.com/2018/09/28/business/media/cbs-new-york-prosecutors.html,704 KB,131,text/html
https://www.nytimes.com/2018/10/01/opinion/justice-kavanaugh-recuse-himself.html,455 KB,123,text/html
https://www.nytimes.com/section/technology,140 KB,156,text/html
https://www.nytimes.com/video/opinion/100000006033259/between-sound-and-silence.html,253 KB,82,text/html
https://www.nytimes.com/video/t-magazine/100000006111282/make-t-something-adam-selman.html?playlistId=100000005753653,228 KB,82,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/brett-kavanaugh-ralph-club.html,883 KB,141,text/html
https://www.nytimes.com/2018/09/29/style/saggy-boobs-matter-chidera-eggerue-interview.html,810 KB,127,text/html
https://www.nytimes.com/section/science,151 KB,165,text/html
https://www.nytimes.com/section/realestate,189 KB,184,text/html
https://www.nytimes.com/2018/10/01/opinion/elon-musk-tesla.html,538 KB,121,text/html
https://www.nytimes.com/video/arts/100000005777083/fans-control-celebrities.html?action=click&module=RelatedLinks&pgtype=Article,575 KB,83,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/in-praise-of-mediocrity.html,714 KB,133,text/html
https://www.nytimes.com/video/us/100000006137890/wildfire-gender-reveal-arizona.html?playlistId=1194811622217,477 KB,84,text/html
https://www.nytimes.com/2018/10/01/business/media/seth-rich-washington-times.html,582 KB,127,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-iphone-114x144-61d373c43aa8365d3940c5f1135f4597.png,2 KB,0,image/png
https://www.nytimes.com/section/food,349 KB,172,text/html
https://www.nytimes.com/video/opinion/100000006064751/coal-miner-to-trump-coal-mining-isnt-coming-back.html,227 KB,105,text/html
https://www.nytimes.com/2018/10/01/opinion/contributors/mexico-1968-student-movement.html,622 KB,129,text/html
https://www.nytimes.com/video/us/elections/100000006035155/trolls-facebook-elections.html,457 KB,84,text/html
https://www.nytimes.com/2018/09/30/us/politics/chad-ludington-statement-brett-kavanaugh.html,508 KB,118,text/html
https://www.nytimes.com/section/reader-center,169 KB,174,text/html
https://www.nytimes.com/subscription/games/lp897H9.html,47 KB,37,text/html
https://www.nytimes.com/2018/09/29/us/black-sisterhood-in-the-shadow-of-the-brett-kavanaugh-hearings.html,673 KB,140,text/html
https://www.nytimes.com/2018/09/30/business/media/elisabeth-murdoch-vertical-networks.html,829 KB,143,text/html
https://www.nytimes.com/2018/09/27/opinion/doing-right-by-sick-9-11-workers.html,494 KB,119,text/html
https://www.nytimes.com/video/world/asia/100000006135301/deadly-earthquake-and-tsunami-hit-indonesia.html?playlistId=1194811622211,256 KB,83,text/html
https://www.nytimes.com/2018/09/29/opinion/brett-kavanaugh-beer-politics.html?action=click&module=RelatedLinks&pgtype=Article,811 KB,138,text/html
https://www.nytimes.com/2018/10/01/business/trump-nafta-usmca-differences.html,644 KB,130,text/html
https://www.nytimes.com/section/fashion,247 KB,251,text/html
https://www.nytimes.com/section/jobs,117 KB,132,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/brett-kavanaugh-ralph-club.html?action=click&module=RelatedLinks&pgtype=Article,883 KB,142,text/html
https://www.nytimes.com/column/michelle-goldberg,404 KB,113,text/html
https://www.nytimes.com/2018/09/28/opinion/brett-kavanaugh-jeff-flake-gop-women.html?action=click&module=RelatedLinks&pgtype=Article,552 KB,131,text/html
https://www.nytimes.com/section/corrections,113 KB,127,text/html
https://www.nytimes.com/2018/09/30/world/asia/indonesia-tsunami.html,721 KB,123,text/html
https://www.nytimes.com/newsletters/opiniontoday?action=click&module=Intentional&pgtype=Article,85 KB,94,text/html
https://www.nytimes.com/column/sporting,231 KB,113,text/html
https://www.nytimes.com/vi-assets/static-assets/favicon-4bf96cb6a1093748bf5b3c429accb9b4.ico,1 KB,0,image/vnd.microsoft.icon
https://www.nytimes.com/section/arts/design,136 KB,149,text/html
https://www.nytimes.com/2018/09/30/us/politics/jeff-flake-kavanaugh.html,860 KB,132,text/html
https://www.nytimes.com/column/gail-collins,389 KB,112,text/html
https://www.nytimes.com/video/us/100000006134502/kavanaugh-hearings-comparison.html,347 KB,83,text/html
https://www.nytimes.com/subscription/multiproduct/lp8HYKU.html?campaignId=6W74R,109 KB,40,text/html
https://www.nytimes.com/2018/09/30/opinion/trump-cant-win-the-war-on-demography.html,525 KB,124,text/html
https://www.nytimes.com/2018/10/01/health/flu-deaths-vaccine.html,976 KB,138,text/html
https://www.nytimes.com/section/upshot,133 KB,148,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/red-tide-florida-tourism.html,681 KB,128,text/html
https://www.nytimes.com/subscription/hd/1041.html?campaignId=6UXKJ,35 KB,17,text/html
https://www.nytimes.com/2018/09/27/books/review/10-new-books-we-recommend-this-week.html,628 KB,136,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/sex-education-ethics-assault-boys.html,679 KB,130,text/html
https://www.nytimes.com/section/business,185 KB,173,text/html
https://www.nytimes.com/section/opinion/letters,105 KB,123,text/html
http://www.nytimes.com/marketing/tools-and-services/,19 KB,58,text/html
https://www.nytimes.com/column/disability,229 KB,113,text/html
https://www.nytimes.com/2018/09/20/books/review/nobel-prize-literature-critics-discussion.html,769 KB,145,text/html
https://www.nytimes.com/column/roger-cohen,400 KB,112,text/html
https://www.nytimes.com/column/on-campus,281 KB,127,text/html
https://www.nytimes.com/2018/10/01/books/review/dinosaur-artist-paige-williams.html,727 KB,125,text/html
https://www.nytimes.com/2018/09/30/opinion/the-economic-future-isnt-what-it-used-to-be-wonkish.html,798 KB,134,text/html
https://www.nytimes.com/es/,173 KB,108,text/html
https://www.nytimes.com/2018/09/28/opinion/jeff-flake-brett-kavanaugh-fbi-supreme-court.html,460 KB,135,text/html
https://www.nytimes.com/2018/09/24/books/review/field-of-blood-joanne-freeman.html,608 KB,125,text/html
https://www.nytimes.com/section/automobiles,139 KB,145,text/html
https://www.nytimes.com/column/ross-douthat,398 KB,112,text/html
https://www.nytimes.com/2018/04/03/us/mississippi-private-prison-abuse.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,741 KB,137,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/schizophrenia-psychiatric-disorders-immune-system.html,703 KB,131,text/html
https://www.nytimes.com/2018/09/24/books/review/karl-ove-knausgaard-my-struggle-book-six.html,695 KB,130,text/html
https://www.nytimes.com/column/maureen-dowd,392 KB,112,text/html
https://www.nytimes.com/section/opinion/technology,110 KB,124,text/html
https://www.nytimes.com/interactive/2018/09/30/us/mistakes-in-your-20s.html,182 KB,56,text/html
https://www.nytimes.com/2018/09/28/books/review/piranhas-roberto-saviano.html,792 KB,126,text/html
https://www.nytimes.com/2018/09/30/opinion/trump-iran-sanctions-united-nations.html,366 KB,117,text/html
https://www.nytimes.com/video/opinion,152 KB,71,text/html
https://www.nytimes.com/2018/09/30/opinion/letters/immigrants-green-cards-welfare.html,477 KB,122,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/my-friend-wrote-a-book-before-he-died-could-i-read-his-handwriting.html,516 KB,125,text/html
https://www.nytimes.com/by/quoctrung-bui,113 KB,127,text/html
https://www.nytimes.com/column/charles-m-blow,393 KB,112,text/html
https://www.nytimes.com/watching,1024 KB,268,text/html
https://www.nytimes.com/2018/09/30/opinion/letters/desegregation-little-rock.html,465 KB,121,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/kavanaugh-feminism-conservatism.html,860 KB,137,text/html
https://www.nytimes.com/section/lens,372 KB,118,text/html
https://www.nytimes.com/2018/09/30/opinion/letters/sleep-teenagers.html,474 KB,121,text/html
https://www.nytimes.com/column/the-stone,107 KB,125,text/html
https://www.nytimes.com/interactive/2015/05/03/upshot/the-best-and-worst-places-to-grow-up-how-your-area-compares.html,72 KB,50,text/html
https://www.nytimes.com/section/opinion/politics,123 KB,136,text/html
https://www.nytimes.com/crosswords,335 KB,46,text/html
https://www.nytimes.com/2018/09/30/opinion/death-penalty-tennessee-injection.html,686 KB,131,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/fury-is-a-political-weapon-and-women-need-to-wield-it.html,605 KB,126,text/html
https://www.nytimes.com/2015/05/04/upshot/an-atlas-of-upward-mobility-shows-paths-out-of-poverty.html,488 KB,138,text/html
https://www.nytimes.com/2018/09/30/opinion/letters/public-advocate-new-york-city.html,483 KB,121,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/childhood-cancer.html,619 KB,129,text/html
https://www.nytimes.com/2018/09/29/upshot/mini-recession-2016-little-known-big-impact.html,882 KB,138,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/sexual-assault-women-kavanaugh.html,832 KB,134,text/html
https://www.nytimes.com/interactive/2018/09/30/us/how-to-pay-back-student-loans.html,182 KB,56,text/html
https://www.nytimes.com/interactive/2018/upshot/elections-polls.html,682 KB,137,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/christians-politics-belief.html,649 KB,123,text/html
https://www.nytimes.com/2018/09/29/opinion/sunday/trump-democracy-history.html,526 KB,131,text/html
https://www.nytimes.com/section/opinion/environment,307 KB,112,text/html
https://www.nytimes.com/section/nyregion,136 KB,146,text/html
https://www.nytimes.com/2016/03/27/upshot/growing-up-in-a-bad-neighborhood-does-more-harm-than-we-thought.html,651 KB,138,text/html
https://www.nytimes.com/column/michelle-alexander,56 KB,87,text/html
https://www.nytimes.com/section/opinion/international-world,107 KB,124,text/html
https://www.nytimes.com/section/opinion/gender-and-society,123 KB,136,text/html
https://www.nytimes.com/2018/10/01/upshot/uber-lyft-and-the-urgency-of-saving-money-on-ambulances.html,880 KB,144,text/html
https://www.nytimes.com/interactive/2018/09/30/us/what-career-is-right-for-me.html,182 KB,56,text/html
https://www.nytimes.com/column/thomas-l-friedman,401 KB,112,text/html
https://www.nytimes.com/2018/10/01/world/canada/trudeau-nafta-canada.html,782 KB,134,text/html
https://www.nytimes.com/column/paul-krugman,390 KB,112,text/html
https://www.nytimes.com/2018/10/01/opinion/worse-than-nafta.html,511 KB,117,text/html
https://www.nytimes.com/2018/10/01/opinion/letters/kavanaugh-confirmation.html,520 KB,120,text/html
https://www.nytimes.com/2018/10/01/us/migrant-children-tent-city-camp-texas.html,446 KB,125,text/html
https://www.nytimes.com/2018/09/27/upshot/undecided-voters-2018-midterms.html,571 KB,122,text/html
https://www.nytimes.com/2018/10/01/briefing/nafta-brett-kavanaugh-nobel-prize.html,847 KB,172,text/html
https://www.nytimes.com/2018/09/28/opinion/brett-kavanaugh-jeff-flake-gop-women.html,552 KB,130,text/html
https://www.nytimes.com/section/opinion/editorials,253 KB,111,text/html
https://www.nytimes.com/newsletters/regilite/button?product=TY&title=Opinion%2BToday,2 KB,8,text/html
https://www.nytimes.com/vi-assets/static-assets/apple-touch-icon-319373aaf4524d94d38aa599c56b8655.png,3 KB,0,image/png
https://www.nytimes.com/column/david-leonhardt,422 KB,114,text/html
https://www.nytimes.com/2018/09/26/upshot/biased-news-media-or-biased-readers-an-experiment-on-trust.html,777 KB,130,text/html
https://www.nytimes.com/2018/09/27/opinion/why-brett-kavanaugh-wasnt-believable.html,506 KB,124,text/html
https://www.nytimes.com/column/vietnam-67,280 KB,121,text/html
https://www.nytimes.com/2018/10/01/opinion/wendell-berry-agriculture-farm-bill.html,674 KB,128,text/html
https://www.nytimes.com/section/todayspaper,144 KB,173,text/html
https://www.nytimes.com/by/emily-badger,113 KB,127,text/html
https://www.nytimes.com/2018/10/01/us/politics/supreme-court-returns-kavanaugh-endangered-frog.html,577 KB,124,text/html
https://www.nytimes.com/2018/09/25/upshot/kavanaugh-polling-battleground-districts.html,569 KB,120,text/html
https://www.nytimes.com/2018/10/01/opinion/fbi-investigation-kavanaugh-witnesses.html,484 KB,123,text/html
https://www.nytimes.com/section/opinion/health,446 KB,124,text/html
https://www.nytimes.com/section/opinion/business-economics,252 KB,112,text/html
https://www.nytimes.com/2018/01/29/business/tax-bill-economic-recovery-opportunity-zones.html,629 KB,134,text/html
https://www.nytimes.com/2018/10/01/us/california-today-homelessness-children-readers-respond.html,798 KB,149,text/html
https://www.nytimes.com/2018/10/01/us/politics/kavanaugh-drinking-supreme-court.html,511 KB,124,text/html
https://www.nytimes.com/column/book-review-podcast,106 KB,125,text/html
https://www.nytimes.com/interactive/2018/opinion/editorialboard.html,54 KB,46,text/html
https://www.nytimes.com/2018/10/01/science/brain-eating-amoeba-death.html,775 KB,123,text/html
https://www.nytimes.com/2018/09/28/nyregion/rebecca-traister-on-why-women-are-angry-its-not-just-kavanaugh.html,980 KB,134,text/html
https://www.nytimes.com/column/fixes,227 KB,113,text/html
